("date_sale","price_sale","fk_platform","fk_type_of_sale","fk_user_table"),
("08.06.21"," 20.00 ","3","1","1"),
("21.06.21"," 10.00 ","3","2","2"),
("23.06.21"," 15.00 ","3","2","3"),
("24.06.21"," 47.00 ","3","1","4"),
("28.06.21"," 15.00 ","3","2","5"),
("28.06.21"," 10.00 ","3","1","6"),
("28.06.21"," 10.00 ","3","1","7"),
("01.07.21"," 5.00 ","3","1","8"),
("05.07.21"," 10.00 ","1","1","9"),
("07.07.21"," 4.00 ","3","1","10"),
("12.07.21"," 30.00 ","1","1","11"),
("13.07.21"," 25.00 ","1","1","12"),
("15.07.21"," 50.00 ","1","1","13"),
("15.07.21"," 15.00 ","1","1","14"),