("storage_location","storage_type"),
("apartment","small_box"),
("basement","big_box"),
("basement","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","big_box"),
("apartment","BRAUN_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","small_box"),
("basement","big_box"),
("apartment","medium_box"),
("apartment","small_box"),
("apartment","small_box"),
("apartment","ikea_bag"),
("apartment","clothes_rack"),
("garage","no_container"),
("apartment","no_container")